driverId,position,points
max-verstappen,1,391
charles-leclerc,2,267
sergio-perez,3,265
george-russell,4,218
carlos-sainz-jr,5,202
lewis-hamilton,6,198
lando-norris,7,109
esteban-ocon,8,78
fernando-alonso,9,71
valtteri-bottas,10,46
sebastian-vettel,11,36
daniel-ricciardo,12,29
kevin-magnussen,13,24
pierre-gasly,14,23
lance-stroll,15,13
mick-schumacher,16,12
yuki-tsunoda,17,12
guanyu-zhou,18,6
alexander-albon,19,4
nicholas-latifi,20,2
nyck-de-vries,21,2
nico-hulkenberg,22,0
