engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,325
honda,red-bull,2,173
renault,mclaren,3,106
bwt-mercedes,racing-point,4,92
renault,renault,5,83
ferrari,ferrari,6,66
honda,alphatauri,7,53
ferrari,alfa-romeo,8,4
ferrari,haas,9,1
mercedes,williams,10,0
