time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:16.530,mercedes,mercedes,,,17,valtteri-bottas,1,pirelli,77
1:16.547,red-bull,honda,+0.017,+0.017,10,max-verstappen,2,pirelli,33
1:16.613,mercedes,mercedes,+0.066,+0.083,14,lewis-hamilton,3,pirelli,44
1:17.112,racing-point,bwt-mercedes,+0.499,+0.582,10,lance-stroll,4,pirelli,18
1:17.226,alphatauri,honda,+0.114,+0.696,14,pierre-gasly,5,pirelli,10
1:17.341,racing-point,bwt-mercedes,+0.115,+0.811,14,sergio-perez,6,pirelli,11
1:17.488,ferrari,ferrari,+0.147,+0.958,15,charles-leclerc,7,pirelli,16
1:17.538,red-bull,honda,+0.050,+1.008,11,alexander-albon,8,pirelli,23
1:17.627,alphatauri,honda,+0.089,+1.097,17,daniil-kvyat,9,pirelli,26
1:17.635,haas,ferrari,+0.008,+1.105,19,romain-grosjean,10,pirelli,8
1:17.746,renault,renault,+0.111,+1.216,13,esteban-ocon,11,pirelli,31
1:17.768,mclaren,renault,+0.022,+1.238,19,carlos-sainz-jr,12,pirelli,55
1:17.812,alfa-romeo,ferrari,+0.044,+1.282,15,antonio-giovinazzi,13,pirelli,99
1:17.843,alfa-romeo,ferrari,+0.031,+1.313,17,kimi-raikkonen,14,pirelli,7
1:18.039,haas,ferrari,+0.196,+1.509,17,kevin-magnussen,15,pirelli,20
1:18.072,williams,mercedes,+0.033,+1.542,16,nicholas-latifi,16,pirelli,6
1:18.142,renault,renault,+0.070,+1.612,12,daniel-ricciardo,17,pirelli,3
1:18.186,ferrari,ferrari,+0.044,+1.656,15,sebastian-vettel,18,pirelli,5
1:18.826,mclaren,renault,+0.640,+2.296,19,lando-norris,19,pirelli,4
,williams,mercedes,,,1,george-russell,20,pirelli,63
