time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:23.824,red-bull,rbpt,,max-verstappen,1,pirelli,1
1:24.052,red-bull,rbpt,,sergio-perez,2,pirelli,11
1:24.092,ferrari,ferrari,,charles-leclerc,3,pirelli,16
1:24.242,ferrari,ferrari,,carlos-sainz-jr,4,pirelli,55
1:24.508,mercedes,mercedes,,lewis-hamilton,5,pirelli,44
1:24.511,mercedes,mercedes,,george-russell,6,pirelli,63
1:24.769,mclaren,mercedes,,lando-norris,7,pirelli,4
1:24.830,alpine,renault,,esteban-ocon,8,pirelli,31
1:24.961,aston-martin,mercedes,,sebastian-vettel,9,pirelli,5
1:25.096,alpine,renault,,fernando-alonso,10,pirelli,14
1:25.219,alphatauri,rbpt,,yuki-tsunoda,11,pirelli,22
1:25.225,haas,ferrari,,mick-schumacher,12,pirelli,47
1:25.045,mclaren,mercedes,3,daniel-ricciardo,13,pirelli,3
1:25.359,aston-martin,mercedes,,lance-stroll,14,pirelli,18
1:25.408,alfa-romeo,ferrari,,guanyu-zhou,15,pirelli,24
1:25.834,haas,ferrari,,kevin-magnussen,16,pirelli,20
1:25.859,alphatauri,rbpt,,pierre-gasly,17,pirelli,10
1:25.892,alfa-romeo,ferrari,,valtteri-bottas,18,pirelli,77
1:26.028,williams,mercedes,,alexander-albon,19,pirelli,23
1:26.054,williams,mercedes,,nicholas-latifi,20,pirelli,6
