constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
aston-martin,mercedes,56.6,sebastian-vettel,1,pirelli,5
red-bull,rbpt,9.1,sergio-perez,2,pirelli,11
ferrari,ferrari,6.5,charles-leclerc,3,pirelli,16
mercedes,mercedes,5.5,lewis-hamilton,4,pirelli,44
mclaren,mercedes,4.8,daniel-ricciardo,5,pirelli,3
