constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
mercedes,mercedes,32.7,lewis-hamilton,1,pirelli,44
red-bull,honda-rbpt,13.2,max-verstappen,2,pirelli,1
mercedes,mercedes,10.2,george-russell,3,pirelli,63
ferrari,ferrari,7.4,carlos-sainz-jr,4,pirelli,55
williams,mercedes,6.2,franco-colapinto,5,pirelli,43
