engineManufacturerId,constructorId,position,points
mercedes,mclaren,1,608
ferrari,ferrari,2,584
honda-rbpt,red-bull,3,555
mercedes,mercedes,4,425
mercedes,aston-martin,5,86
ferrari,haas,6,50
renault,alpine,7,49
honda-rbpt,rb,8,46
mercedes,williams,9,17
ferrari,kick-sauber,10,0
