q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:04.249,red-bull,1:03.927,honda,,,1:03.720,max-verstappen,16,1,pirelli,33
1:04.345,mclaren,1:04.415,mercedes,+0.048,+0.048,1:03.768,lando-norris,19,2,pirelli,4
1:04.833,red-bull,1:04.483,honda,+0.222,+0.270,1:03.990,sergio-perez,24,3,pirelli,11
1:04.506,mercedes,1:04.258,mercedes,+0.024,+0.294,1:04.014,lewis-hamilton,18,4,pirelli,44
1:04.563,mercedes,1:04.376,mercedes,+0.035,+0.329,1:04.049,valtteri-bottas,19,5,pirelli,77
1:04.841,alphatauri,1:04.412,honda,+0.058,+0.387,1:04.107,pierre-gasly,21,6,pirelli,10
1:04.967,alphatauri,1:04.518,honda,+0.166,+0.553,1:04.273,yuki-tsunoda,21,7,pirelli,22
1:04.846,aston-martin,1:04.493,mercedes,+0.297,+0.850,1:04.570,sebastian-vettel,20,8,pirelli,5
1:04.907,williams,1:04.553,mercedes,+0.021,+0.871,1:04.591,george-russell,15,9,pirelli,63
1:04.927,aston-martin,1:04.547,mercedes,+0.027,+0.898,1:04.618,lance-stroll,21,10,pirelli,18
1:04.596,ferrari,1:04.559,ferrari,,,,carlos-sainz-jr,15,11,pirelli,55
1:04.906,ferrari,1:04.600,ferrari,,,,charles-leclerc,15,12,pirelli,16
1:04.977,mclaren,1:04.719,mercedes,,,,daniel-ricciardo,15,13,pirelli,3
1:04.472,alpine,1:04.856,renault,,,,fernando-alonso,9,14,pirelli,14
1:04.782,alfa-romeo,1:05.083,ferrari,,,,antonio-giovinazzi,15,15,pirelli,99
1:05.009,alfa-romeo,,ferrari,,,,kimi-raikkonen,9,16,pirelli,7
1:05.051,alpine,,renault,,,,esteban-ocon,6,17,pirelli,31
1:05.195,williams,,mercedes,,,,nicholas-latifi,6,18,pirelli,6
1:05.427,haas,,ferrari,,,,mick-schumacher,9,19,pirelli,47
1:05.951,haas,,ferrari,,,,nikita-mazepin,9,20,pirelli,9
