time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:06.200,red-bull,honda,,,max-verstappen,1,pirelli,62,33
1:07.762,ferrari,ferrari,+1.562,+1.562,carlos-sainz-jr,2,pirelli,70,55
1:08.126,mercedes,mercedes,+0.364,+1.926,lewis-hamilton,3,pirelli,55,44
1:08.146,alphatauri,honda,+0.020,+1.946,pierre-gasly,4,pirelli,54,10
1:08.192,red-bull,honda,+0.046,+1.992,sergio-perez,5,pirelli,55,11
1:08.374,mercedes,mercedes,+0.182,+2.174,valtteri-bottas,6,pirelli,52,77
1:08.405,alpine,renault,+0.031,+2.205,fernando-alonso,7,pirelli,70,14
1:08.420,aston-martin,mercedes,+0.015,+2.220,sebastian-vettel,8,pirelli,51,5
1:08.455,alphatauri,honda,+0.035,+2.255,yuki-tsunoda,9,pirelli,54,22
1:08.471,mclaren,mercedes,+0.016,+2.271,lando-norris,10,pirelli,62,4
1:08.520,alfa-romeo,ferrari,+0.049,+2.320,kimi-raikkonen,11,pirelli,62,7
1:08.659,aston-martin,mercedes,+0.139,+2.459,lance-stroll,12,pirelli,54,18
1:08.698,ferrari,ferrari,+0.039,+2.498,charles-leclerc,13,pirelli,55,16
1:08.820,mclaren,mercedes,+0.122,+2.620,daniel-ricciardo,14,pirelli,56,3
1:08.874,williams,mercedes,+0.054,+2.674,nicholas-latifi,15,pirelli,69,6
1:08.900,williams,mercedes,+0.026,+2.700,george-russell,16,pirelli,56,63
1:09.042,alfa-romeo,ferrari,+0.142,+2.842,antonio-giovinazzi,17,pirelli,55,99
1:09.394,haas,ferrari,+0.352,+3.194,mick-schumacher,18,pirelli,56,47
1:09.757,haas,ferrari,+0.363,+3.557,nikita-mazepin,19,pirelli,49,9
