constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
mclaren,mercedes,31.6,lando-norris,1,pirelli,4
alfa-romeo,ferrari,15.7,kimi-raikkonen,2,pirelli,7
red-bull,honda,9.2,max-verstappen,3,pirelli,33
mclaren,mercedes,8.5,daniel-ricciardo,4,pirelli,3
williams,mercedes,7.7,george-russell,5,pirelli,63
