driverId,position,points
max-verstappen,1,182
lewis-hamilton,2,150
sergio-perez,3,104
lando-norris,4,101
valtteri-bottas,5,92
charles-leclerc,6,62
carlos-sainz-jr,7,60
daniel-ricciardo,8,40
pierre-gasly,9,39
sebastian-vettel,10,30
fernando-alonso,11,20
lance-stroll,12,14
esteban-ocon,13,12
yuki-tsunoda,14,9
kimi-raikkonen,15,1
antonio-giovinazzi,16,1
george-russell,17,0
mick-schumacher,18,0
nikita-mazepin,19,0
nicholas-latifi,20,0
