engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,303
honda,red-bull,2,291
ferrari,ferrari,3,163
mercedes,mclaren,4,163
renault,alpine,5,77
honda,alphatauri,6,68
mercedes,aston-martin,7,48
mercedes,williams,8,10
ferrari,alfa-romeo,9,3
ferrari,haas,10,0
