q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:16.424,mercedes,1:16.553,mercedes,,,1:15.419,lewis-hamilton,19,1,pirelli,44
1:16.569,mercedes,1:16.702,mercedes,+0.315,+0.315,1:15.734,valtteri-bottas,18,2,pirelli,77
1:16.214,red-bull,1:15.650,honda,+0.106,+0.421,1:15.840,max-verstappen,17,3,pirelli,33
1:17.233,red-bull,1:16.443,honda,+0.581,+1.002,1:16.421,sergio-perez,16,4,pirelli,11
1:16.874,alphatauri,1:16.394,honda,+0.062,+1.064,1:16.483,pierre-gasly,15,5,pirelli,10
1:17.081,mclaren,1:16.385,mercedes,+0.006,+1.070,1:16.489,lando-norris,17,6,pirelli,4
1:17.084,ferrari,1:16.574,ferrari,+0.007,+1.077,1:16.496,charles-leclerc,17,7,pirelli,16
1:17.367,alpine,1:16.766,renault,+0.157,+1.234,1:16.653,esteban-ocon,15,8,pirelli,31
1:17.123,alpine,1:16.541,renault,+0.062,+1.296,1:16.715,fernando-alonso,15,9,pirelli,14
1:17.105,aston-martin,1:16.794,mercedes,+0.035,+1.331,1:16.750,sebastian-vettel,15,10,pirelli,5
1:17.664,mclaren,1:16.871,mercedes,,,,daniel-ricciardo,13,11,pirelli,3
1:17.038,aston-martin,1:16.893,mercedes,,,,lance-stroll,12,12,pirelli,18
1:17.553,alfa-romeo,1:17.564,ferrari,,,,kimi-raikkonen,15,13,pirelli,7
1:17.776,alfa-romeo,1:17.583,ferrari,,,,antonio-giovinazzi,12,14,pirelli,99
1:16.649,ferrari,,ferrari,,,,carlos-sainz-jr,5,15,pirelli,55
1:17.919,alphatauri,,honda,,,,yuki-tsunoda,8,16,pirelli,22
1:17.944,williams,,mercedes,,,,george-russell,8,17,pirelli,63
1:18.036,williams,,mercedes,,,,nicholas-latifi,8,18,pirelli,6
1:18.922,haas,,ferrari,,,,nikita-mazepin,9,19,pirelli,9
