constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
red-bull,honda,26.7,max-verstappen,1,pirelli,33
mercedes,mercedes,24.6,lewis-hamilton,2,pirelli,44
alpine,renault,12.9,esteban-ocon,3,pirelli,31
mclaren,mercedes,6.6,daniel-ricciardo,4,pirelli,3
alfa-romeo,ferrari,4.1,kimi-raikkonen,5,pirelli,7
