time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:27.511,mercedes,mercedes,,lewis-hamilton,1,pirelli,44
1:27.622,mercedes,mercedes,,valtteri-bottas,2,pirelli,77
1:27.653,red-bull,honda,,max-verstappen,3,pirelli,33
1:28.054,ferrari,ferrari,,charles-leclerc,4,pirelli,16
1:28.123,red-bull,honda,,sergio-perez,5,pirelli,11
1:28.125,alphatauri,honda,,pierre-gasly,6,pirelli,10
1:28.180,mclaren,mercedes,,lando-norris,7,pirelli,4
1:28.442,alphatauri,honda,,yuki-tsunoda,8,pirelli,22
1:28.647,alpine,renault,,esteban-ocon,9,pirelli,31
1:28.754,alfa-romeo,ferrari,,antonio-giovinazzi,10,pirelli,99
1:28.668,mclaren,mercedes,,daniel-ricciardo,11,pirelli,3
1:28.885,alfa-romeo,ferrari,,kimi-raikkonen,12,pirelli,7
1:28.920,alpine,renault,,fernando-alonso,13,pirelli,14
1:29.054,williams,mercedes,,george-russell,14,pirelli,63
1:53.652,ferrari,ferrari,,carlos-sainz-jr,15,pirelli,55
1:29.177,williams,mercedes,,nicholas-latifi,16,pirelli,6
1:29.198,aston-martin,mercedes,,sebastian-vettel,17,pirelli,5
1:29.368,aston-martin,mercedes,,lance-stroll,18,pirelli,18
1:29.464,haas,ferrari,,mick-schumacher,19,pirelli,47
1:30.473,haas,ferrari,,nikita-mazepin,20,pirelli,9
