q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:28.466,mercedes,1:27.712,mercedes,,,1:27.511,lewis-hamilton,23,1,pirelli,44
1:28.057,mercedes,1:28.054,mercedes,+0.111,+0.111,1:27.622,valtteri-bottas,25,2,pirelli,77
1:28.285,red-bull,1:27.953,honda,+0.031,+0.142,1:27.653,max-verstappen,19,3,pirelli,33
1:28.310,ferrari,1:28.459,ferrari,+0.401,+0.543,1:28.054,charles-leclerc,24,4,pirelli,16
1:28.021,red-bull,1:27.946,honda,+0.069,+0.612,1:28.123,sergio-perez,23,5,pirelli,11
1:28.401,alphatauri,1:28.314,honda,+0.002,+0.614,1:28.125,pierre-gasly,26,6,pirelli,10
1:28.338,mclaren,1:28.344,mercedes,+0.055,+0.669,1:28.180,lando-norris,21,7,pirelli,4
1:28.503,alphatauri,1:28.222,honda,+0.262,+0.931,1:28.442,yuki-tsunoda,26,8,pirelli,22
1:28.752,alpine,1:28.574,renault,+0.205,+1.136,1:28.647,esteban-ocon,22,9,pirelli,31
1:28.899,alfa-romeo,1:28.616,ferrari,+0.107,+1.243,1:28.754,antonio-giovinazzi,21,10,pirelli,99
1:28.216,mclaren,1:28.668,mercedes,,,,daniel-ricciardo,17,11,pirelli,3
1:28.856,alfa-romeo,1:28.885,ferrari,,,,kimi-raikkonen,18,12,pirelli,7
1:28.944,alpine,1:28.920,renault,,,,fernando-alonso,17,13,pirelli,14
1:28.926,williams,1:29.054,mercedes,,,,george-russell,17,14,pirelli,63
1:28.237,ferrari,1:53.652,ferrari,,,,carlos-sainz-jr,16,15,pirelli,55
1:29.177,williams,,mercedes,,,,nicholas-latifi,9,16,pirelli,6
1:29.198,aston-martin,,mercedes,,,,sebastian-vettel,10,17,pirelli,5
1:29.368,aston-martin,,mercedes,,,,lance-stroll,9,18,pirelli,18
1:29.464,haas,,ferrari,,,,mick-schumacher,9,19,pirelli,47
1:30.473,haas,,ferrari,,,,nikita-mazepin,8,20,pirelli,9
