driverId,position,points
max-verstappen,1,284
sergio-perez,2,191
charles-leclerc,3,186
carlos-sainz-jr,4,171
george-russell,5,170
lewis-hamilton,6,146
lando-norris,7,76
esteban-ocon,8,64
fernando-alonso,9,51
valtteri-bottas,10,46
kevin-magnussen,11,22
sebastian-vettel,12,20
daniel-ricciardo,13,19
pierre-gasly,14,18
mick-schumacher,15,12
yuki-tsunoda,16,11
guanyu-zhou,17,5
alexander-albon,18,4
lance-stroll,19,4
nicholas-latifi,20,0
nico-hulkenberg,21,0
