engineManufacturerId,constructorId,position,points
honda-rbpt,red-bull,1,44
ferrari,ferrari,2,27
mercedes,mercedes,3,16
mercedes,mclaren,4,12
mercedes,aston-martin,5,3
ferrari,kick-sauber,6,0
ferrari,haas,7,0
honda-rbpt,rb,8,0
mercedes,williams,9,0
renault,alpine,10,0
