q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:40.190,ferrari,1:41.602,ferrari,,,1:40.983,carlos-sainz-jr,26,1,pirelli,55
1:39.129,red-bull,1:40.655,rbpt,+0.072,+0.072,1:41.055,max-verstappen,24,2,pirelli,1
1:39.846,ferrari,1:41.247,ferrari,+0.243,+0.315,1:41.298,charles-leclerc,26,3,pirelli,16
1:40.521,red-bull,1:42.513,rbpt,+0.318,+0.633,1:41.616,sergio-perez,26,4,pirelli,11
1:40.428,mercedes,1:41.062,mercedes,+0.379,+1.012,1:41.995,lewis-hamilton,23,5,pirelli,44
1:41.515,mclaren,1:41.821,mercedes,+0.089,+1.101,1:42.084,lando-norris,26,6,pirelli,4
1:41.598,alpine,1:42.209,renault,+0.032,+1.133,1:42.116,fernando-alonso,23,7,pirelli,14
1:40.028,mercedes,1:41.725,mercedes,+0.045,+1.178,1:42.161,george-russell,23,8,pirelli,63
1:40.791,alfa-romeo,1:42.640,ferrari,+0.558,+1.736,1:42.719,guanyu-zhou,28,9,pirelli,24
1:41.998,williams,1:43.273,mercedes,+20.376,+22.112,2:03.095,nicholas-latifi,24,10,pirelli,6
1:41.680,alphatauri,1:43.702,rbpt,,,,pierre-gasly,19,11,pirelli,10
1:41.396,alfa-romeo,1:44.232,ferrari,,,,valtteri-bottas,20,12,pirelli,77
1:41.893,alphatauri,1:44.311,rbpt,,,,yuki-tsunoda,19,13,pirelli,22
1:41.933,mclaren,1:44.355,mercedes,,,,daniel-ricciardo,18,14,pirelli,3
1:41.730,alpine,1:45.190,renault,,,,esteban-ocon,17,15,pirelli,31
1:42.078,williams,,mercedes,,,,alexander-albon,11,16,pirelli,23
1:42.159,haas,,ferrari,,,,kevin-magnussen,11,17,pirelli,20
1:42.666,aston-martin,,mercedes,,,,sebastian-vettel,9,18,pirelli,5
1:42.708,haas,,ferrari,,,,mick-schumacher,11,19,pirelli,47
1:43.430,aston-martin,,mercedes,,,,lance-stroll,10,20,pirelli,18
