time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:47.483,renault,renault,,,daniel-ricciardo,1,pirelli,44,3
1:47.758,mercedes,mercedes,+0.275,+0.275,lewis-hamilton,2,pirelli,28,44
1:47.839,alphatauri,honda,+0.081,+0.356,pierre-gasly,3,pirelli,29,10
1:47.840,ferrari,ferrari,+0.001,+0.357,charles-leclerc,4,pirelli,26,16
1:47.983,mercedes,mercedes,+0.143,+0.500,valtteri-bottas,5,pirelli,27,77
1:48.048,williams,mercedes,+0.065,+0.565,nicholas-latifi,6,pirelli,32,6
1:48.083,haas,ferrari,+0.035,+0.600,kevin-magnussen,7,pirelli,37,20
1:48.305,red-bull,honda,+0.222,+0.822,max-verstappen,8,pirelli,27,33
1:48.389,racing-point,bwt-mercedes,+0.084,+0.906,sergio-perez,9,pirelli,20,11
1:48.540,renault,renault,+0.151,+1.057,esteban-ocon,10,pirelli,44,31
1:48.552,mclaren,renault,+0.012,+1.069,lando-norris,11,pirelli,39,4
1:48.736,red-bull,honda,+0.184,+1.253,alexander-albon,12,pirelli,27,23
1:49.136,racing-point,bwt-mercedes,+0.400,+1.653,lance-stroll,13,pirelli,34,18
1:49.822,alfa-romeo,ferrari,+0.686,+2.339,kimi-raikkonen,14,pirelli,28,7
1:49.832,alphatauri,honda,+0.010,+2.349,daniil-kvyat,15,pirelli,28,26
1:49.958,ferrari,ferrari,+0.126,+2.475,sebastian-vettel,16,pirelli,31,5
1:50.018,haas,ferrari,+0.060,+2.535,romain-grosjean,17,pirelli,28,8
1:51.754,williams,mercedes,+1.736,+4.271,george-russell,18,pirelli,5,63
1:51.793,alfa-romeo,ferrari,+0.039,+4.310,antonio-giovinazzi,19,pirelli,9,99
