time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:41.252,mercedes,mercedes,,lewis-hamilton,1,pirelli,44
1:41.763,mercedes,mercedes,,valtteri-bottas,2,pirelli,77
1:41.778,red-bull,honda,,max-verstappen,3,pirelli,33
1:42.061,renault,renault,,daniel-ricciardo,4,pirelli,3
1:42.264,red-bull,honda,,alexander-albon,5,pirelli,23
1:42.396,renault,renault,,esteban-ocon,6,pirelli,31
1:42.438,mclaren,renault,,carlos-sainz-jr,7,pirelli,55
1:42.532,racing-point,bwt-mercedes,,sergio-perez,8,pirelli,11
1:42.603,racing-point,bwt-mercedes,,lance-stroll,9,pirelli,18
1:42.657,mclaren,renault,,lando-norris,10,pirelli,4
1:42.730,alphatauri,honda,,daniil-kvyat,11,pirelli,26
1:42.745,alphatauri,honda,,pierre-gasly,12,pirelli,10
1:42.996,ferrari,ferrari,,charles-leclerc,13,pirelli,16
1:43.261,ferrari,ferrari,,sebastian-vettel,14,pirelli,5
1:43.468,williams,mercedes,,george-russell,15,pirelli,63
1:43.743,alfa-romeo,ferrari,,kimi-raikkonen,16,pirelli,7
1:43.838,haas,ferrari,,romain-grosjean,17,pirelli,8
1:43.950,alfa-romeo,ferrari,,antonio-giovinazzi,18,pirelli,99
1:44.138,williams,mercedes,,nicholas-latifi,19,pirelli,6
1:44.314,haas,ferrari,,kevin-magnussen,20,pirelli,20
