constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
alphatauri,honda,18.9,pierre-gasly,1,pirelli,10
renault,renault,18.7,daniel-ricciardo,2,pirelli,3
mercedes,mercedes,9.5,lewis-hamilton,3,pirelli,44
red-bull,honda,7.6,max-verstappen,4,pirelli,33
mclaren,renault,7.3,lando-norris,5,pirelli,4
