constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
mercedes,mercedes,24.7,lewis-hamilton,1,pirelli,44
red-bull,honda-rbpt,19.2,sergio-perez,2,pirelli,11
mercedes,mercedes,11.3,george-russell,3,pirelli,63
red-bull,honda-rbpt,10.6,max-verstappen,4,pirelli,1
aston-martin,mercedes,5.4,fernando-alonso,5,pirelli,14
