driverId,position,points
max-verstappen,1,51
sergio-perez,2,36
charles-leclerc,3,28
george-russell,4,18
oscar-piastri,5,16
carlos-sainz-jr,6,15
fernando-alonso,7,12
lando-norris,8,12
lewis-hamilton,9,8
oliver-bearman,10,6
nico-hulkenberg,11,1
lance-stroll,12,1
alexander-albon,13,0
guanyu-zhou,14,0
kevin-magnussen,15,0
daniel-ricciardo,16,0
esteban-ocon,17,0
yuki-tsunoda,18,0
logan-sargeant,19,0
valtteri-bottas,20,0
pierre-gasly,21,0
