time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:31.632,ferrari,ferrari,,,charles-leclerc,1,pirelli,50,16
1:31.746,mercedes,mercedes,+0.114,+0.114,lewis-hamilton,2,pirelli,38,44
1:31.773,red-bull,honda-rbpt,+0.027,+0.141,max-verstappen,3,pirelli,50,1
1:31.944,mclaren,mercedes,+0.171,+0.312,lando-norris,4,pirelli,40,4
1:32.186,ferrari,ferrari,+0.242,+0.554,oliver-bearman,5,pirelli,50,38
1:32.208,kick-sauber,ferrari,+0.022,+0.576,guanyu-zhou,6,pirelli,49,24
1:32.254,mercedes,mercedes,+0.046,+0.622,george-russell,7,pirelli,42,63
1:32.273,red-bull,honda-rbpt,+0.019,+0.641,sergio-perez,8,pirelli,37,11
1:32.307,williams,mercedes,+0.034,+0.675,alexander-albon,9,pirelli,50,23
1:32.310,mclaren,mercedes,+0.003,+0.678,oscar-piastri,10,pirelli,45,81
1:32.338,haas,ferrari,+0.028,+0.706,kevin-magnussen,11,pirelli,47,20
1:32.366,haas,ferrari,+0.028,+0.734,nico-hulkenberg,12,pirelli,49,27
1:32.387,aston-martin,mercedes,+0.021,+0.755,fernando-alonso,13,pirelli,43,14
1:32.706,kick-sauber,ferrari,+0.319,+1.074,valtteri-bottas,14,pirelli,49,77
1:33.026,williams,mercedes,+0.320,+1.394,logan-sargeant,15,pirelli,49,2
1:33.323,rb,honda-rbpt,+0.297,+1.691,daniel-ricciardo,16,pirelli,47,3
1:33.481,alpine,renault,+0.158,+1.849,esteban-ocon,17,pirelli,48,31
1:33.523,rb,honda-rbpt,+0.042,+1.891,yuki-tsunoda,18,pirelli,44,22
1:35.560,aston-martin,mercedes,+2.037,+3.928,lance-stroll,19,pirelli,5,18
