time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:46.046,red-bull,rbpt,,,sergio-perez,1,pirelli,36,11
1:46.050,red-bull,rbpt,+0.004,+0.004,max-verstappen,2,pirelli,50,1
1:47.044,mercedes,mercedes,+0.994,+0.998,lewis-hamilton,3,pirelli,39,44
1:47.177,mercedes,mercedes,+0.133,+1.131,george-russell,4,pirelli,42,63
1:47.523,alphatauri,rbpt,+0.346,+1.477,yuki-tsunoda,5,pirelli,42,22
1:47.531,ferrari,ferrari,+0.008,+1.485,charles-leclerc,6,pirelli,13,16
1:47.966,williams,mercedes,+0.435,+1.920,alexander-albon,7,pirelli,48,23
1:47.989,alpine,renault,+0.023,+1.943,fernando-alonso,8,pirelli,49,14
1:47.997,mclaren,mercedes,+0.008,+1.951,lando-norris,9,pirelli,37,4
1:48.038,aston-martin,mercedes,+0.041,+1.992,lance-stroll,10,pirelli,38,18
1:48.179,alfa-romeo,ferrari,+0.141,+2.133,valtteri-bottas,11,pirelli,42,77
1:48.206,aston-martin,mercedes,+0.027,+2.160,sebastian-vettel,12,pirelli,41,5
1:48.276,mclaren,mercedes,+0.070,+2.230,daniel-ricciardo,13,pirelli,44,3
1:48.297,alpine,renault,+0.021,+2.251,esteban-ocon,14,pirelli,36,31
1:48.410,haas,ferrari,+0.113,+2.364,mick-schumacher,15,pirelli,40,47
1:48.519,alphatauri,rbpt,+0.109,+2.473,pierre-gasly,16,pirelli,39,10
1:48.723,alfa-romeo,ferrari,+0.204,+2.677,guanyu-zhou,17,pirelli,12,24
1:48.789,haas,ferrari,+0.066,+2.743,kevin-magnussen,18,pirelli,12,20
1:48.978,ferrari,ferrari,+0.189,+2.932,carlos-sainz-jr,19,pirelli,3,55
1:49.583,williams,mercedes,+0.605,+3.537,nicholas-latifi,20,pirelli,37,6
