time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:45.476,red-bull,rbpt,,,21,sergio-perez,1,pirelli,11
1:45.603,ferrari,ferrari,+0.127,+0.127,21,charles-leclerc,2,pirelli,16
1:45.810,red-bull,rbpt,+0.207,+0.334,25,max-verstappen,3,pirelli,1
1:46.012,ferrari,ferrari,+0.202,+0.536,22,carlos-sainz-jr,4,pirelli,55
1:46.571,alpine,renault,+0.559,+1.095,22,fernando-alonso,5,pirelli,14
1:46.667,mercedes,mercedes,+0.096,+1.191,21,lewis-hamilton,6,pirelli,44
1:46.696,alphatauri,rbpt,+0.029,+1.220,25,yuki-tsunoda,7,pirelli,22
1:46.705,mercedes,mercedes,+0.009,+1.229,24,george-russell,8,pirelli,63
1:46.830,alphatauri,rbpt,+0.125,+1.354,25,pierre-gasly,9,pirelli,10
1:46.917,alpine,renault,+0.087,+1.441,21,esteban-ocon,10,pirelli,31
1:47.691,mclaren,mercedes,+0.774,+2.215,19,lando-norris,11,pirelli,4
1:47.847,aston-martin,mercedes,+0.156,+2.371,24,lance-stroll,12,pirelli,18
1:47.946,haas,ferrari,+0.099,+2.470,24,kevin-magnussen,13,pirelli,20
1:47.970,aston-martin,mercedes,+0.024,+2.494,22,sebastian-vettel,14,pirelli,5
1:48.078,alfa-romeo,ferrari,+0.108,+2.602,22,valtteri-bottas,15,pirelli,77
1:48.222,alfa-romeo,ferrari,+0.144,+2.746,24,guanyu-zhou,16,pirelli,24
1:48.419,williams,mercedes,+0.197,+2.943,22,alexander-albon,17,pirelli,23
1:48.810,mclaren,mercedes,+0.391,+3.334,22,daniel-ricciardo,18,pirelli,3
1:50.921,williams,mercedes,+2.111,+5.445,7,nicholas-latifi,19,pirelli,6
1:58.332,haas,ferrari,+7.411,+12.856,3,mick-schumacher,20,pirelli,47
