entrantId,constructorId,engineManufacturerId,drivers,countryId,engineId,tyreManufacturerId,chassisId
aston-martin-aramco-f1-team,aston-martin,mercedes,"[{'driverId': 'fernando-alonso', 'rounds': '1-24'}, {'driverId': 'lance-stroll', 'rounds': '1-24'}, {'driverId': 'felipe-drugovich', 'rounds': None, 'testDriver': True}]",united-kingdom,mercedes-amg-f1-m15-16-v6-t-h,pirelli,aston-martin-amr24
bwt-alpine-f1-team,alpine,renault,"[{'driverId': 'esteban-ocon', 'rounds': '1-23'}, {'driverId': 'pierre-gasly', 'rounds': '1-24'}, {'driverId': 'jack-doohan', 'rounds': 24, 'testDriver': True}]",france,renault-e-tech-re24-16-v6-t-h,pirelli,alpine-a524
mclaren-f1-team,mclaren,mercedes,"[{'driverId': 'lando-norris', 'rounds': '1-24'}, {'driverId': 'oscar-piastri', 'rounds': '1-24'}, {'driverId': 'patricio-oward', 'rounds': None, 'testDriver': True}, {'driverId': 'ryo-hirakawa', 'rounds': None, 'testDriver': True}]",united-kingdom,mercedes-amg-f1-m15-16-v6-t-h,pirelli,mclaren-mcl38
mercedes-amg-petronas-f1-team,mercedes,mercedes,"[{'driverId': 'george-russell', 'rounds': '1-24'}, {'driverId': 'lewis-hamilton', 'rounds': '1-24'}, {'driverId': 'andrea-kimi-antonelli', 'rounds': None, 'testDriver': True}]",germany,mercedes-amg-f1-m15-16-v6-t-h,pirelli,mercedes-f1-w15
moneygram-haas-f1-team,haas,ferrari,"[{'driverId': 'kevin-magnussen', 'rounds': '1-16,18-20,22-24'}, {'driverId': 'nico-hulkenberg', 'rounds': '1-24'}, {'driverId': 'oliver-bearman', 'rounds': '17,21', 'testDriver': True}]",united-states-of-america,ferrari-066-10-16-v6-t-h,pirelli,haas-vf-24
oracle-red-bull-racing,red-bull,honda-rbpt,"[{'driverId': 'max-verstappen', 'rounds': '1-24'}, {'driverId': 'sergio-perez', 'rounds': '1-24'}, {'driverId': 'isack-hadjar', 'rounds': None, 'testDriver': True}]",austria,honda-rbpt-rbpth002-16-v6-t-h,pirelli,red-bull-rb20
scuderia-ferrari,ferrari,ferrari,"[{'driverId': 'carlos-sainz-jr', 'rounds': '1-24'}, {'driverId': 'charles-leclerc', 'rounds': '1-24'}, {'driverId': 'oliver-bearman', 'rounds': 2, 'testDriver': True}, {'driverId': 'arthur-leclerc', 'rounds': None, 'testDriver': True}]",italy,ferrari-066-12-16-v6-t-h,pirelli,ferrari-sf-24
stake-f1-team-kick-sauber,kick-sauber,ferrari,"[{'driverId': 'guanyu-zhou', 'rounds': '1-24'}, {'driverId': 'valtteri-bottas', 'rounds': '1-24'}, {'driverId': 'robert-shwartzman', 'rounds': None, 'testDriver': True}]",switzerland,ferrari-066-12-16-v6-t-h,pirelli,kick-sauber-c44
visa-cash-app-rb-f1-team,rb,honda-rbpt,"[{'driverId': 'daniel-ricciardo', 'rounds': '1-18'}, {'driverId': 'yuki-tsunoda', 'rounds': '1-24'}, {'driverId': 'liam-lawson', 'rounds': '19-24'}, {'driverId': 'ayumu-iwasa', 'rounds': None, 'testDriver': True}]",italy,honda-rbpt-rbpth002-16-v6-t-h,pirelli,rb-vcarb-01
williams-racing,williams,mercedes,"[{'driverId': 'alexander-albon', 'rounds': '1-24'}, {'driverId': 'logan-sargeant', 'rounds': '1-15'}, {'driverId': 'franco-colapinto', 'rounds': '16-24', 'testDriver': True}, {'driverId': 'luke-browning', 'rounds': None, 'testDriver': True}]",united-kingdom,mercedes-amg-f1-m15-16-v6-t-h,pirelli,williams-fw46
