time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:28.971,mercedes,mercedes,,,28,lewis-hamilton,1,pirelli,44
1:29.318,red-bull,honda,+0.347,+0.347,34,max-verstappen,2,pirelli,33
1:29.336,mercedes,mercedes,+0.018,+0.365,30,valtteri-bottas,3,pirelli,77
1:29.403,racing-point,bwt-mercedes,+0.067,+0.432,32,sergio-perez,4,pirelli,11
1:29.462,renault,renault,+0.059,+0.491,27,daniel-ricciardo,5,pirelli,3
1:29.551,alphatauri,honda,+0.089,+0.580,36,pierre-gasly,6,pirelli,10
1:29.841,mclaren,renault,+0.290,+0.870,30,lando-norris,7,pirelli,4
1:29.871,racing-point,bwt-mercedes,+0.030,+0.900,32,lance-stroll,8,pirelli,18
1:29.900,alphatauri,honda,+0.029,+0.929,34,daniil-kvyat,9,pirelli,26
1:30.014,red-bull,honda,+0.114,+1.043,17,alexander-albon,10,pirelli,23
1:30.085,renault,renault,+0.071,+1.114,30,esteban-ocon,11,pirelli,31
1:30.110,ferrari,ferrari,+0.025,+1.139,35,sebastian-vettel,12,pirelli,5
1:30.271,mclaren,renault,+0.161,+1.300,33,carlos-sainz-jr,13,pirelli,55
1:30.407,ferrari,ferrari,+0.136,+1.436,30,charles-leclerc,14,pirelli,16
1:30.627,alfa-romeo,ferrari,+0.220,+1.656,33,antonio-giovinazzi,15,pirelli,99
1:30.849,haas,ferrari,+0.222,+1.878,27,kevin-magnussen,16,pirelli,20
1:30.928,alfa-romeo,ferrari,+0.079,+1.957,34,kimi-raikkonen,17,pirelli,7
1:30.973,williams,mercedes,+0.045,+2.002,32,nicholas-latifi,18,pirelli,6
1:31.119,haas,ferrari,+0.146,+2.148,28,romain-grosjean,19,pirelli,8
1:31.636,williams,mercedes,+0.517,+2.665,29,george-russell,20,pirelli,63
