time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:34.946,red-bull,honda,,,24,sergio-perez,1,pirelli,11
1:35.203,mclaren,mercedes,+0.257,+0.257,20,lando-norris,2,pirelli,4
1:35.310,mercedes,mercedes,+0.107,+0.364,22,lewis-hamilton,3,pirelli,44
1:35.360,mercedes,mercedes,+0.050,+0.414,24,valtteri-bottas,4,pirelli,77
1:35.457,mclaren,mercedes,+0.097,+0.511,21,daniel-ricciardo,5,pirelli,3
1:35.561,aston-martin,mercedes,+0.104,+0.615,25,lance-stroll,6,pirelli,18
1:35.572,ferrari,ferrari,+0.011,+0.626,23,charles-leclerc,7,pirelli,16
1:35.824,red-bull,honda,+0.252,+0.878,23,max-verstappen,8,pirelli,33
1:35.919,ferrari,ferrari,+0.095,+0.973,24,carlos-sainz-jr,9,pirelli,55
1:36.138,alfa-romeo,ferrari,+0.219,+1.192,26,antonio-giovinazzi,10,pirelli,99
1:36.158,alpine,renault,+0.020,+1.212,23,esteban-ocon,11,pirelli,31
1:36.242,alphatauri,honda,+0.084,+1.296,25,pierre-gasly,12,pirelli,10
1:36.376,alpine,renault,+0.134,+1.430,18,fernando-alonso,13,pirelli,14
1:36.558,alfa-romeo,ferrari,+0.182,+1.612,25,kimi-raikkonen,14,pirelli,7
1:36.718,aston-martin,mercedes,+0.160,+1.772,30,sebastian-vettel,15,pirelli,5
1:36.983,alphatauri,honda,+0.265,+2.037,24,yuki-tsunoda,16,pirelli,22
1:37.041,haas,ferrari,+0.058,+2.095,24,mick-schumacher,17,pirelli,47
1:37.254,williams,mercedes,+0.213,+2.308,26,nicholas-latifi,18,pirelli,6
1:37.490,williams,mercedes,+0.236,+2.544,21,george-russell,19,pirelli,63
1:38.026,haas,ferrari,+0.536,+3.080,23,nikita-mazepin,20,pirelli,9
