q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:34.352,red-bull,1:33.464,honda,,,1:32.910,max-verstappen,16,1,pirelli,33
1:34.579,mercedes,1:33.797,mercedes,+0.209,+0.209,1:33.119,lewis-hamilton,16,2,pirelli,44
1:34.369,red-bull,1:34.178,honda,+0.015,+0.224,1:33.134,sergio-perez,19,3,pirelli,11
1:34.590,mercedes,1:33.959,mercedes,+0.341,+0.565,1:33.475,valtteri-bottas,15,4,pirelli,77
1:34.153,ferrari,1:33.928,ferrari,+0.131,+0.696,1:33.606,charles-leclerc,17,5,pirelli,16
1:34.558,ferrari,1:34.126,ferrari,+0.186,+0.882,1:33.792,carlos-sainz-jr,15,6,pirelli,55
1:34.407,mclaren,1:34.643,mercedes,+0.016,+0.898,1:33.808,daniel-ricciardo,15,7,pirelli,3
1:34.551,mclaren,1:33.880,mercedes,+0.079,+0.977,1:33.887,lando-norris,14,8,pirelli,4
1:34.567,alphatauri,1:34.583,honda,+0.231,+1.208,1:34.118,pierre-gasly,17,9,pirelli,10
1:35.360,alphatauri,1:35.137,honda,+0.800,+2.008,1:34.918,yuki-tsunoda,18,10,pirelli,22
1:35.747,alpine,1:35.377,renault,,,,esteban-ocon,12,11,pirelli,31
1:35.281,aston-martin,1:35.500,mercedes,,,,sebastian-vettel,9,12,pirelli,5
1:35.920,alfa-romeo,1:35.794,ferrari,,,,antonio-giovinazzi,8,13,pirelli,99
1:35.756,alpine,1:44.549,renault,,,,fernando-alonso,12,14,pirelli,14
1:35.746,williams,,mercedes,,,,george-russell,11,15,pirelli,63
1:35.983,aston-martin,,mercedes,,,,lance-stroll,7,16,pirelli,18
1:35.995,williams,,mercedes,,,,nicholas-latifi,6,17,pirelli,6
1:36.311,alfa-romeo,,ferrari,,,,kimi-raikkonen,7,18,pirelli,7
1:36.499,haas,,ferrari,,,,mick-schumacher,9,19,pirelli,47
1:36.796,haas,,ferrari,,,,nikita-mazepin,8,20,pirelli,9
