engineManufacturerId,constructorId,position,points
mercedes,mercedes,1,460.5
honda,red-bull,2,437.5
mercedes,mclaren,3,254
ferrari,ferrari,4,250.5
renault,alpine,5,104
honda,alphatauri,6,94
mercedes,aston-martin,7,62
mercedes,williams,8,23
ferrari,alfa-romeo,9,7
ferrari,haas,10,0
