time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:04.984,red-bull,rbpt,,max-verstappen,1,pirelli,1
1:05.013,ferrari,ferrari,,charles-leclerc,2,pirelli,16
1:05.066,ferrari,ferrari,,carlos-sainz-jr,3,pirelli,55
1:05.431,mercedes,mercedes,,george-russell,4,pirelli,63
1:05.726,alpine,renault,,esteban-ocon,5,pirelli,31
1:05.879,haas,ferrari,,kevin-magnussen,6,pirelli,20
1:06.011,haas,ferrari,,mick-schumacher,7,pirelli,47
1:06.103,alpine,renault,,fernando-alonso,8,pirelli,14
1:13.151,mercedes,mercedes,,lewis-hamilton,9,pirelli,44
1:06.160,alphatauri,rbpt,,pierre-gasly,10,pirelli,10
1:06.230,williams,mercedes,,alexander-albon,11,pirelli,23
1:06.319,alfa-romeo,ferrari,SFB,valtteri-bottas,12,pirelli,77
1:06.458,red-bull,rbpt,,sergio-perez,13,pirelli,11
1:06.851,alphatauri,rbpt,,yuki-tsunoda,14,pirelli,22
1:25.847,mclaren,mercedes,,lando-norris,15,pirelli,4
1:06.613,mclaren,mercedes,,daniel-ricciardo,16,pirelli,3
1:06.847,aston-martin,mercedes,,lance-stroll,17,pirelli,18
1:06.901,alfa-romeo,ferrari,,guanyu-zhou,18,pirelli,24
1:07.003,williams,mercedes,,nicholas-latifi,19,pirelli,6
1:07.083,aston-martin,mercedes,,sebastian-vettel,20,pirelli,5
