engineManufacturerId,constructorId,position,points
rbpt,red-bull,1,359
ferrari,ferrari,2,303
mercedes,mercedes,3,237
mercedes,mclaren,4,81
renault,alpine,5,81
ferrari,alfa-romeo,6,51
ferrari,haas,7,34
rbpt,alphatauri,8,27
mercedes,aston-martin,9,18
mercedes,williams,10,3
