time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:06.302,red-bull,rbpt,,,34,max-verstappen,1,pirelli,1
1:06.557,ferrari,ferrari,+0.255,+0.255,32,charles-leclerc,2,pirelli,16
1:06.702,mercedes,mercedes,+0.145,+0.400,32,george-russell,3,pirelli,63
1:06.839,red-bull,rbpt,+0.137,+0.537,27,sergio-perez,4,pirelli,11
1:06.909,mercedes,mercedes,+0.070,+0.607,31,lewis-hamilton,5,pirelli,44
1:06.965,haas,ferrari,+0.056,+0.663,32,kevin-magnussen,6,pirelli,20
1:07.039,ferrari,ferrari,+0.074,+0.737,29,carlos-sainz-jr,7,pirelli,55
1:07.100,alpine,renault,+0.061,+0.798,32,fernando-alonso,8,pirelli,14
1:07.246,haas,ferrari,+0.146,+0.944,32,mick-schumacher,9,pirelli,47
1:07.296,alphatauri,rbpt,+0.050,+0.994,33,yuki-tsunoda,10,pirelli,22
1:07.431,aston-martin,mercedes,+0.135,+1.129,26,lance-stroll,11,pirelli,18
1:07.462,alpine,renault,+0.031,+1.160,27,esteban-ocon,12,pirelli,31
1:07.476,aston-martin,mercedes,+0.014,+1.174,29,sebastian-vettel,13,pirelli,5
1:07.522,alfa-romeo,ferrari,+0.046,+1.220,27,valtteri-bottas,14,pirelli,77
1:07.582,williams,mercedes,+0.060,+1.280,32,alexander-albon,15,pirelli,23
1:07.592,alphatauri,rbpt,+0.010,+1.290,33,pierre-gasly,16,pirelli,10
1:07.743,mclaren,mercedes,+0.151,+1.441,25,daniel-ricciardo,17,pirelli,3
1:07.889,alfa-romeo,ferrari,+0.146,+1.587,28,guanyu-zhou,18,pirelli,24
1:08.149,williams,mercedes,+0.260,+1.847,28,nicholas-latifi,19,pirelli,6
1:09.915,mclaren,mercedes,+1.766,+3.613,14,lando-norris,20,pirelli,4
