constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
alfa-romeo,ferrari,18.6,kimi-raikkonen,1,pirelli,7
red-bull,honda,13.9,max-verstappen,2,pirelli,33
mercedes,mercedes,10.6,lewis-hamilton,3,pirelli,44
renault,renault,10.5,daniel-ricciardo,4,pirelli,3
alphatauri,honda,7.3,daniil-kvyat,5,pirelli,26
