time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:16.654,mercedes,mercedes,,,27,valtteri-bottas,1,pirelli,77
1:16.680,mercedes,mercedes,+0.026,+0.026,23,lewis-hamilton,2,pirelli,44
1:16.812,red-bull,honda,+0.132,+0.158,21,max-verstappen,3,pirelli,33
1:16.930,alphatauri,honda,+0.118,+0.276,24,pierre-gasly,4,pirelli,10
1:17.117,red-bull,honda,+0.187,+0.463,25,alexander-albon,5,pirelli,23
1:17.229,ferrari,ferrari,+0.112,+0.575,20,charles-leclerc,6,pirelli,16
1:17.238,mclaren,renault,+0.009,+0.584,24,carlos-sainz-jr,7,pirelli,55
1:17.297,racing-point,bwt-mercedes,+0.059,+0.643,17,sergio-perez,8,pirelli,11
1:17.478,mclaren,renault,+0.181,+0.824,22,lando-norris,9,pirelli,4
1:17.666,renault,renault,+0.188,+1.012,20,esteban-ocon,10,pirelli,31
1:17.685,ferrari,ferrari,+0.019,+1.031,24,sebastian-vettel,11,pirelli,5
1:17.720,alphatauri,honda,+0.035,+1.066,29,daniil-kvyat,12,pirelli,26
1:17.922,alfa-romeo,ferrari,+0.202,+1.268,20,kimi-raikkonen,13,pirelli,7
1:17.935,renault,renault,+0.013,+1.281,13,daniel-ricciardo,14,pirelli,3
1:18.032,williams,mercedes,+0.097,+1.378,20,george-russell,15,pirelli,63
1:18.100,racing-point,bwt-mercedes,+0.068,+1.446,17,lance-stroll,16,pirelli,18
1:18.201,alfa-romeo,ferrari,+0.101,+1.547,20,antonio-giovinazzi,17,pirelli,99
1:18.287,haas,ferrari,+0.086,+1.633,13,kevin-magnussen,18,pirelli,20
1:18.397,williams,mercedes,+0.110,+1.743,20,nicholas-latifi,19,pirelli,6
1:18.454,haas,ferrari,+0.057,+1.800,19,romain-grosjean,20,pirelli,8
