constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
racing-point,bwt-mercedes,18.2,sergio-perez,1,pirelli,11
ferrari,ferrari,13.6,charles-leclerc,2,pirelli,16
alphatauri,honda,11.5,pierre-gasly,3,pirelli,10
alfa-romeo,ferrari,10.3,kimi-raikkonen,4,pirelli,7
mercedes,mercedes,9.8,lewis-hamilton,5,pirelli,44
