q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:16.828,mercedes,1:16.824,mercedes,,,1:16.652,lewis-hamilton,21,1,pirelli,44
1:16.945,mercedes,1:16.466,mercedes,+0.102,+0.102,1:16.754,valtteri-bottas,17,2,pirelli,77
1:16.879,red-bull,1:17.038,honda,+0.150,+0.252,1:16.904,max-verstappen,23,3,pirelli,33
1:17.421,ferrari,1:17.367,ferrari,+0.186,+0.438,1:17.090,charles-leclerc,23,4,pirelli,16
1:17.370,racing-point,1:17.129,bwt-mercedes,+0.133,+0.571,1:17.223,sergio-perez,21,5,pirelli,11
1:17.435,red-bull,1:17.411,honda,+0.214,+0.785,1:17.437,alexander-albon,29,6,pirelli,23
1:17.627,mclaren,1:17.183,renault,+0.083,+0.868,1:17.520,carlos-sainz-jr,24,7,pirelli,55
1:17.547,mclaren,1:17.321,renault,+0.005,+0.873,1:17.525,lando-norris,24,8,pirelli,4
1:17.209,alphatauri,1:17.367,honda,+0.278,+1.151,1:17.803,pierre-gasly,26,9,pirelli,10
1:17.621,renault,1:17.481,renault,,,,daniel-ricciardo,17,10,pirelli,3
1:17.775,renault,1:17.614,renault,,,,esteban-ocon,18,11,pirelli,31
1:17.667,racing-point,1:17.626,bwt-mercedes,,,,lance-stroll,22,12,pirelli,18
1:17.841,alphatauri,1:17.728,honda,,,,daniil-kvyat,22,13,pirelli,26
1:17.931,williams,1:17.788,mercedes,,,,george-russell,17,14,pirelli,63
1:17.446,ferrari,1:17.919,ferrari,,,,sebastian-vettel,20,15,pirelli,5
1:18.201,alfa-romeo,,ferrari,,,,kimi-raikkonen,12,16,pirelli,7
1:18.323,alfa-romeo,,ferrari,,,,antonio-giovinazzi,12,17,pirelli,99
1:18.364,haas,,ferrari,,,,romain-grosjean,12,18,pirelli,8
1:18.508,haas,,ferrari,,,,kevin-magnussen,10,19,pirelli,20
1:18.777,williams,,mercedes,,,,nicholas-latifi,11,20,pirelli,6
