constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
kick-sauber,ferrari,29.7,guanyu-zhou,1,pirelli,24
red-bull,honda-rbpt,17.5,max-verstappen,2,pirelli,1
ferrari,ferrari,9.8,charles-leclerc,3,pirelli,16
mclaren,mercedes,8.6,lando-norris,4,pirelli,4
alpine,renault,7.4,pierre-gasly,5,pirelli,10
