time,constructorId,engineManufacturerId,interval,gap,laps,driverId,position,tyreManufacturerId,driverNumber
1:19.117,mclaren,mercedes,,,12,lando-norris,1,pirelli,4
1:19.249,ferrari,ferrari,+0.132,+0.132,15,charles-leclerc,2,pirelli,16
1:19.265,red-bull,rbpt,+0.016,+0.148,17,sergio-perez,3,pirelli,11
1:19.275,alpine,renault,+0.010,+0.158,15,fernando-alonso,4,pirelli,14
1:19.419,ferrari,ferrari,+0.144,+0.302,17,carlos-sainz-jr,5,pirelli,55
1:19.693,mclaren,mercedes,+0.274,+0.576,14,daniel-ricciardo,6,pirelli,3
1:19.809,red-bull,rbpt,+0.116,+0.692,16,max-verstappen,7,pirelli,1
1:19.896,mercedes,mercedes,+0.087,+0.779,13,lewis-hamilton,8,pirelli,44
1:20.008,alfa-romeo,ferrari,+0.112,+0.891,17,valtteri-bottas,9,pirelli,77
1:20.071,alphatauri,rbpt,+0.063,+0.954,12,yuki-tsunoda,10,pirelli,22
1:20.096,mercedes,mercedes,+0.025,+0.979,16,george-russell,11,pirelli,63
1:20.133,alphatauri,rbpt,+0.037,+1.016,14,pierre-gasly,12,pirelli,10
1:20.205,alpine,renault,+0.072,+1.088,14,esteban-ocon,13,pirelli,31
1:20.692,haas,ferrari,+0.487,+1.575,17,mick-schumacher,14,pirelli,47
1:20.836,alfa-romeo,ferrari,+0.144,+1.719,16,guanyu-zhou,15,pirelli,24
1:20.958,williams,mercedes,+0.122,+1.841,16,alexander-albon,16,pirelli,23
1:21.025,haas,ferrari,+0.067,+1.908,14,kevin-magnussen,17,pirelli,20
1:21.050,williams,mercedes,+0.025,+1.933,14,nicholas-latifi,18,pirelli,6
1:21.636,aston-martin,mercedes,+0.586,+2.519,11,lance-stroll,19,pirelli,18
,aston-martin,mercedes,,,5,sebastian-vettel,20,pirelli,5
