driverId,position,points
charles-leclerc,1,71
george-russell,2,37
carlos-sainz-jr,3,33
sergio-perez,4,30
lewis-hamilton,5,28
max-verstappen,6,25
esteban-ocon,7,20
lando-norris,8,16
kevin-magnussen,9,12
valtteri-bottas,10,12
daniel-ricciardo,11,8
pierre-gasly,12,6
yuki-tsunoda,13,4
fernando-alonso,14,2
guanyu-zhou,15,1
alexander-albon,16,1
mick-schumacher,17,0
lance-stroll,18,0
nico-hulkenberg,19,0
nicholas-latifi,20,0
