time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:17.868,ferrari,ferrari,,charles-leclerc,1,pirelli,16
1:18.154,red-bull,rbpt,,max-verstappen,2,pirelli,1
1:18.240,red-bull,rbpt,,sergio-perez,3,pirelli,11
1:18.703,mclaren,mercedes,,lando-norris,4,pirelli,4
1:18.825,mercedes,mercedes,,lewis-hamilton,5,pirelli,44
1:18.933,mercedes,mercedes,,george-russell,6,pirelli,63
1:19.032,mclaren,mercedes,,daniel-ricciardo,7,pirelli,3
1:19.061,alpine,renault,,esteban-ocon,8,pirelli,31
1:19.408,ferrari,ferrari,,carlos-sainz-jr,9,pirelli,55
,alpine,renault,,fernando-alonso,10,pirelli,14
1:19.226,alphatauri,rbpt,,pierre-gasly,11,pirelli,10
1:19.410,alfa-romeo,ferrari,,valtteri-bottas,12,pirelli,77
1:19.424,alphatauri,rbpt,,yuki-tsunoda,13,pirelli,22
1:20.155,alfa-romeo,ferrari,,guanyu-zhou,14,pirelli,24
1:20.465,haas,ferrari,,mick-schumacher,15,pirelli,47
1:20.254,haas,ferrari,,kevin-magnussen,16,pirelli,20
1:21.149,aston-martin,mercedes,,sebastian-vettel,17,pirelli,5
1:21.372,williams,mercedes,,nicholas-latifi,18,pirelli,6
,aston-martin,mercedes,,lance-stroll,19,pirelli,18
,williams,mercedes,,alexander-albon,20,pirelli,23
