constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
red-bull,honda-rbpt,27.1,max-verstappen,1,pirelli,1
red-bull,honda-rbpt,12.5,sergio-perez,2,pirelli,11
aston-martin,mercedes,9.8,fernando-alonso,3,pirelli,14
mercedes,mercedes,8.6,lewis-hamilton,4,pirelli,44
mercedes,mercedes,7.9,george-russell,5,pirelli,63
