constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
williams,mercedes,28.7,alexander-albon,1,pirelli,23
mercedes,mercedes,16.4,lewis-hamilton,2,pirelli,44
aston-martin,mercedes,16.3,fernando-alonso,3,pirelli,14
red-bull,honda-rbpt,7.4,max-verstappen,4,pirelli,1
ferrari,ferrari,7.3,charles-leclerc,5,pirelli,16
