driverId,position,points
max-verstappen,1,437
lando-norris,2,374
charles-leclerc,3,356
oscar-piastri,4,292
carlos-sainz-jr,5,290
george-russell,6,245
lewis-hamilton,7,223
sergio-perez,8,152
fernando-alonso,9,70
pierre-gasly,10,42
nico-hulkenberg,11,41
yuki-tsunoda,12,30
lance-stroll,13,24
esteban-ocon,14,23
kevin-magnussen,15,16
alexander-albon,16,12
daniel-ricciardo,17,12
oliver-bearman,18,7
franco-colapinto,19,5
guanyu-zhou,20,4
liam-lawson,21,4
valtteri-bottas,22,0
logan-sargeant,23,0
jack-doohan,24,0
