constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
mclaren,mercedes,29.5,lando-norris,1,pirelli,4
alphatauri,honda-rbpt,21.6,daniel-ricciardo,2,pirelli,3
mercedes,mercedes,12.2,lewis-hamilton,3,pirelli,44
red-bull,honda-rbpt,8.3,sergio-perez,4,pirelli,11
red-bull,honda-rbpt,7.5,max-verstappen,5,pirelli,1
