time,constructorId,engineManufacturerId,gridPenalty,driverId,position,tyreManufacturerId,driverNumber
1:11.376,ferrari,ferrari,,charles-leclerc,1,pirelli,16
1:11.601,ferrari,ferrari,,carlos-sainz-jr,2,pirelli,55
1:11.629,red-bull,rbpt,,sergio-perez,3,pirelli,11
1:11.666,red-bull,rbpt,,max-verstappen,4,pirelli,1
1:11.849,mclaren,mercedes,,lando-norris,5,pirelli,4
1:12.112,mercedes,mercedes,,george-russell,6,pirelli,63
1:12.247,alpine,renault,,fernando-alonso,7,pirelli,14
1:12.560,mercedes,mercedes,,lewis-hamilton,8,pirelli,44
1:12.732,aston-martin,mercedes,,sebastian-vettel,9,pirelli,5
1:13.047,alpine,renault,,esteban-ocon,10,pirelli,31
1:12.797,alphatauri,rbpt,,yuki-tsunoda,11,pirelli,22
1:12.909,alfa-romeo,ferrari,,valtteri-bottas,12,pirelli,77
1:12.921,haas,ferrari,,kevin-magnussen,13,pirelli,20
1:12.964,mclaren,mercedes,,daniel-ricciardo,14,pirelli,3
1:13.081,haas,ferrari,,mick-schumacher,15,pirelli,47
1:13.611,williams,mercedes,,alexander-albon,16,pirelli,23
1:13.660,alphatauri,rbpt,,pierre-gasly,17,pirelli,10
1:13.678,aston-martin,mercedes,,lance-stroll,18,pirelli,18
1:14.403,williams,mercedes,,nicholas-latifi,19,pirelli,6
1:15.606,alfa-romeo,ferrari,,guanyu-zhou,20,pirelli,24
