time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:26.103,red-bull,honda,,,max-verstappen,1,pirelli,39,33
1:26.419,red-bull,honda,+0.316,+0.316,sergio-perez,2,pirelli,51,11
1:26.615,mercedes,mercedes,+0.196,+0.512,lewis-hamilton,3,pirelli,43,44
1:26.762,mclaren,mercedes,+0.147,+0.659,lando-norris,4,pirelli,58,4
1:26.862,mercedes,mercedes,+0.100,+0.759,valtteri-bottas,5,pirelli,51,77
1:27.342,alphatauri,honda,+0.480,+1.239,pierre-gasly,6,pirelli,49,10
1:27.496,alphatauri,honda,+0.154,+1.393,yuki-tsunoda,7,pirelli,50,22
1:27.607,alpine,renault,+0.111,+1.504,fernando-alonso,8,pirelli,58,14
1:27.618,ferrari,ferrari,+0.011,+1.515,carlos-sainz-jr,9,pirelli,51,55
1:28.249,alpine,renault,+0.631,+2.146,esteban-ocon,10,pirelli,58,31
1:28.303,aston-martin,mercedes,+0.054,+2.200,sebastian-vettel,11,pirelli,58,5
1:28.433,ferrari,ferrari,+0.130,+2.330,charles-leclerc,12,pirelli,40,16
1:28.567,aston-martin,mercedes,+0.134,+2.464,lance-stroll,13,pirelli,48,18
1:28.723,mclaren,mercedes,+0.156,+2.620,daniel-ricciardo,14,pirelli,48,3
1:29.293,williams,mercedes,+0.570,+3.190,nicholas-latifi,15,pirelli,30,6
1:29.442,alfa-romeo,ferrari,+0.149,+3.339,antonio-giovinazzi,16,pirelli,33,99
1:29.457,haas,ferrari,+0.015,+3.354,mick-schumacher,17,pirelli,42,47
1:29.698,alfa-romeo,ferrari,+0.241,+3.595,kimi-raikkonen,18,pirelli,23,7
1:30.647,williams,mercedes,+0.949,+4.544,george-russell,19,pirelli,23,63
