q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:04.489,red-bull,1:04.433,honda,,,1:03.841,max-verstappen,20,1,pirelli,33
1:04.537,mercedes,1:04.443,mercedes,+0.194,+0.194,1:04.035,valtteri-bottas,23,2,pirelli,77
1:04.672,mercedes,1:04.512,mercedes,+0.032,+0.226,1:04.067,lewis-hamilton,25,3,pirelli,44
1:04.584,mclaren,1:04.298,mercedes,+0.053,+0.279,1:04.120,lando-norris,17,4,pirelli,4
1:04.638,red-bull,1:04.197,honda,+0.048,+0.327,1:04.168,sergio-perez,21,5,pirelli,11
1:04.765,alphatauri,1:04.429,honda,+0.068,+0.395,1:04.236,pierre-gasly,18,6,pirelli,10
1:04.745,ferrari,1:04.646,ferrari,+0.236,+0.631,1:04.472,charles-leclerc,21,7,pirelli,16
1:04.608,alphatauri,1:04.631,honda,+0.042,+0.673,1:04.514,yuki-tsunoda,21,8,pirelli,22
1:04.971,alpine,1:04.582,renault,+0.060,+0.733,1:04.574,fernando-alonso,18,9,pirelli,14
1:04.821,aston-martin,1:04.663,mercedes,+0.134,+0.867,1:04.708,lance-stroll,18,10,pirelli,18
1:05.033,williams,1:04.671,mercedes,,,,george-russell,14,11,pirelli,63
1:04.859,ferrari,1:04.800,ferrari,,,,carlos-sainz-jr,15,12,pirelli,55
1:05.142,mclaren,1:04.808,mercedes,,,,daniel-ricciardo,14,13,pirelli,3
1:05.051,aston-martin,1:04.875,mercedes,,,,sebastian-vettel,15,14,pirelli,5
1:05.092,alfa-romeo,1:04.913,ferrari,,,,antonio-giovinazzi,17,15,pirelli,99
1:05.175,williams,,mercedes,,,,nicholas-latifi,9,16,pirelli,6
1:05.217,alpine,,renault,,,,esteban-ocon,6,17,pirelli,31
1:05.429,alfa-romeo,,ferrari,,,,kimi-raikkonen,8,18,pirelli,7
1:06.041,haas,,ferrari,,,,mick-schumacher,8,19,pirelli,47
1:06.192,haas,,ferrari,,,,nikita-mazepin,9,20,pirelli,9
