driverId,position,points
max-verstappen,1,156
lewis-hamilton,2,138
sergio-perez,3,96
lando-norris,4,86
valtteri-bottas,5,74
charles-leclerc,6,58
carlos-sainz-jr,7,50
pierre-gasly,8,37
daniel-ricciardo,9,34
sebastian-vettel,10,30
fernando-alonso,11,19
lance-stroll,12,14
esteban-ocon,13,12
yuki-tsunoda,14,9
kimi-raikkonen,15,1
antonio-giovinazzi,16,1
george-russell,17,0
mick-schumacher,18,0
nikita-mazepin,19,0
nicholas-latifi,20,0
