engineManufacturerId,constructorId,position,points
honda-rbpt,red-bull,1,239
ferrari,ferrari,2,187
mercedes,mclaren,3,124
mercedes,mercedes,4,64
mercedes,aston-martin,5,42
honda-rbpt,rb,6,19
ferrari,haas,7,7
renault,alpine,8,1
mercedes,williams,9,0
ferrari,kick-sauber,10,0
