constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
red-bull,rbpt,22.6,sergio-perez,1,pirelli,11
mclaren,mercedes,16.8,daniel-ricciardo,2,pirelli,3
ferrari,ferrari,9.6,charles-leclerc,3,pirelli,16
mclaren,mercedes,9.4,lando-norris,4,pirelli,4
aston-martin,mercedes,7.9,sebastian-vettel,5,pirelli,5
