constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
ferrari,ferrari,38.4,carlos-sainz-jr,1,pirelli,55
mclaren,mercedes,11.6,lando-norris,2,pirelli,4
mclaren,mercedes,10.2,oscar-piastri,3,pirelli,81
ferrari,ferrari,8.7,charles-leclerc,4,pirelli,16
red-bull,honda-rbpt,5.5,max-verstappen,5,pirelli,1
