engineManufacturerId,constructorId,position,points
honda-rbpt,red-bull,1,276
ferrari,ferrari,2,252
mercedes,mclaren,3,184
mercedes,mercedes,4,96
mercedes,aston-martin,5,44
honda-rbpt,rb,6,24
ferrari,haas,7,7
mercedes,williams,8,2
renault,alpine,9,2
ferrari,kick-sauber,10,0
