engineManufacturerId,constructorId,position,points
honda-rbpt,red-bull,1,268
ferrari,ferrari,2,212
mercedes,mclaren,3,154
mercedes,mercedes,4,79
mercedes,aston-martin,5,44
honda-rbpt,rb,6,20
ferrari,haas,7,7
renault,alpine,8,1
mercedes,williams,9,0
ferrari,kick-sauber,10,0
