q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:30.499,red-bull,1:30.318,honda,,,1:28.997,max-verstappen,15,1,pirelli,33
1:30.617,mercedes,1:30.085,mercedes,+0.388,+0.388,1:29.385,lewis-hamilton,18,2,pirelli,44
1:31.200,mercedes,1:30.186,mercedes,+0.201,+0.589,1:29.586,valtteri-bottas,17,3,pirelli,77
1:30.691,ferrari,1:30.010,ferrari,+0.092,+0.681,1:29.678,charles-leclerc,15,4,pirelli,16
1:30.848,alphatauri,1:30.513,honda,+0.131,+0.812,1:29.809,pierre-gasly,15,5,pirelli,10
1:30.795,mclaren,1:30.222,mercedes,+0.118,+0.930,1:29.927,daniel-ricciardo,18,6,pirelli,3
1:30.902,mclaren,1:30.099,mercedes,+0.047,+0.977,1:29.974,lando-norris,18,7,pirelli,4
1:31.653,ferrari,1:30.009,ferrari,+0.241,+1.218,1:30.215,carlos-sainz-jr,17,8,pirelli,55
1:30.863,alpine,1:30.595,renault,+0.034,+1.252,1:30.249,fernando-alonso,15,9,pirelli,14
1:31.261,aston-martin,1:30.624,mercedes,+0.352,+1.604,1:30.601,lance-stroll,15,10,pirelli,18
1:31.165,red-bull,1:30.659,honda,,,,sergio-perez,11,11,pirelli,11
1:30.998,alfa-romeo,1:30.708,ferrari,,,,antonio-giovinazzi,12,12,pirelli,99
1:30.607,alphatauri,1:31.203,honda,,,,yuki-tsunoda,9,13,pirelli,22
1:31.547,alfa-romeo,1:31.238,ferrari,,,,kimi-raikkonen,12,14,pirelli,7
1:31.316,williams,1:33.430,mercedes,,,,george-russell,11,15,pirelli,63
1:31.724,alpine,,renault,,,,esteban-ocon,6,16,pirelli,31
1:31.936,williams,,mercedes,,,,nicholas-latifi,8,17,pirelli,6
1:32.056,aston-martin,,mercedes,,,,sebastian-vettel,6,18,pirelli,5
1:32.449,haas,,ferrari,,,,mick-schumacher,6,19,pirelli,47
1:33.273,haas,,ferrari,,,,nikita-mazepin,7,20,pirelli,9
