time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:32.090,mercedes,mercedes,,,valtteri-bottas,1,pirelli,56,77
1:33.228,red-bull,honda,+1.138,+1.138,max-verstappen,2,pirelli,41,33
1:33.970,red-bull,honda,+0.742,+1.880,sergio-perez,3,pirelli,44,11
1:34.015,mercedes,mercedes,+0.045,+1.925,lewis-hamilton,4,pirelli,44,44
1:34.090,alphatauri,honda,+0.075,+2.000,pierre-gasly,5,pirelli,48,10
1:34.396,mclaren,mercedes,+0.306,+2.306,lando-norris,6,pirelli,38,4
1:34.509,ferrari,ferrari,+0.113,+2.419,carlos-sainz-jr,7,pirelli,48,55
1:34.761,alphatauri,honda,+0.252,+2.671,yuki-tsunoda,8,pirelli,38,22
1:34.865,aston-martin,mercedes,+0.104,+2.775,lance-stroll,9,pirelli,31,18
1:34.932,mclaren,mercedes,+0.067,+2.842,daniel-ricciardo,10,pirelli,36,3
1:34.988,ferrari,ferrari,+0.056,+2.898,charles-leclerc,11,pirelli,39,16
1:35.036,williams,mercedes,+0.048,+2.946,george-russell,12,pirelli,40,63
1:35.122,alfa-romeo,ferrari,+0.086,+3.032,antonio-giovinazzi,13,pirelli,32,99
1:35.192,alfa-romeo,ferrari,+0.070,+3.102,kimi-raikkonen,14,pirelli,45,7
1:35.250,alpine,renault,+0.058,+3.160,esteban-ocon,15,pirelli,33,31
1:35.566,aston-martin,mercedes,+0.316,+3.476,sebastian-vettel,16,pirelli,26,5
1:36.063,alpine,renault,+0.497,+3.973,fernando-alonso,17,pirelli,31,14
1:36.134,haas,ferrari,+0.071,+4.044,mick-schumacher,18,pirelli,38,47
1:36.602,williams,mercedes,+0.468,+4.512,nicholas-latifi,19,pirelli,16,6
