q1,constructorId,q2,engineManufacturerId,interval,gap,q3,driverId,laps,position,tyreManufacturerId,driverNumber
1:11.113,ferrari,1:10.597,ferrari,,,1:10.346,charles-leclerc,27,1,pirelli,16
1:11.124,red-bull,1:10.650,honda,+0.230,+0.230,1:10.576,max-verstappen,23,2,pirelli,33
1:10.938,mercedes,1:10.695,mercedes,+0.025,+0.255,1:10.601,valtteri-bottas,28,3,pirelli,77
1:11.324,ferrari,1:10.806,ferrari,+0.010,+0.265,1:10.611,carlos-sainz-jr,25,4,pirelli,55
1:11.321,mclaren,1:11.031,mercedes,+0.009,+0.274,1:10.620,lando-norris,23,5,pirelli,4
1:11.560,alphatauri,1:11.179,honda,+0.280,+0.554,1:10.900,pierre-gasly,30,6,pirelli,10
1:11.622,mercedes,1:11.116,mercedes,+0.195,+0.749,1:11.095,lewis-hamilton,30,7,pirelli,44
1:12.078,aston-martin,1:11.309,mercedes,+0.324,+1.073,1:11.419,sebastian-vettel,26,8,pirelli,5
1:11.644,red-bull,1:11.019,honda,+0.154,+1.227,1:11.573,sergio-perez,26,9,pirelli,11
1:11.658,alfa-romeo,1:11.409,ferrari,+0.206,+1.433,1:11.779,antonio-giovinazzi,28,10,pirelli,99
1:11.740,alpine,1:11.486,renault,,,,esteban-ocon,22,11,pirelli,31
1:11.747,mclaren,1:11.598,mercedes,,,,daniel-ricciardo,21,12,pirelli,3
1:11.979,aston-martin,1:11.600,mercedes,,,,lance-stroll,20,13,pirelli,18
1:11.899,alfa-romeo,1:11.642,ferrari,,,,kimi-raikkonen,21,14,pirelli,7
1:12.016,williams,1:11.830,mercedes,,,,george-russell,24,15,pirelli,63
1:12.096,alphatauri,,honda,,,,yuki-tsunoda,13,16,pirelli,22
1:12.205,alpine,,renault,,,,fernando-alonso,12,17,pirelli,14
1:12.366,williams,,mercedes,,,,nicholas-latifi,14,18,pirelli,6
1:12.958,haas,,ferrari,,,,nikita-mazepin,12,19,pirelli,9
