time,constructorId,engineManufacturerId,interval,gap,driverId,position,tyreManufacturerId,lap,driverNumber
1:12.909,mercedes,mercedes,,,lewis-hamilton,1,pirelli,69,44
1:14.037,alphatauri,honda,+1.128,+1.128,yuki-tsunoda,2,pirelli,66,22
1:14.552,red-bull,honda,+0.515,+1.643,sergio-perez,3,pirelli,32,11
1:14.578,mclaren,mercedes,+0.026,+1.669,daniel-ricciardo,4,pirelli,43,3
1:14.621,ferrari,ferrari,+0.043,+1.712,carlos-sainz-jr,5,pirelli,35,55
1:14.649,red-bull,honda,+0.028,+1.740,max-verstappen,6,pirelli,58,33
1:14.670,mclaren,mercedes,+0.021,+1.761,lando-norris,7,pirelli,76,4
1:14.674,aston-martin,mercedes,+0.004,+1.765,lance-stroll,8,pirelli,74,18
1:14.971,alfa-romeo,ferrari,+0.297,+2.062,kimi-raikkonen,9,pirelli,55,7
1:15.026,alpine,renault,+0.055,+2.117,fernando-alonso,10,pirelli,70,14
1:15.316,aston-martin,mercedes,+0.290,+2.407,sebastian-vettel,11,pirelli,33,5
1:15.316,alpine,renault,+0.000,+2.407,esteban-ocon,12,pirelli,41,31
1:15.331,alfa-romeo,ferrari,+0.015,+2.422,antonio-giovinazzi,13,pirelli,41,99
1:15.412,alphatauri,honda,+0.081,+2.503,pierre-gasly,14,pirelli,71,10
1:15.539,williams,mercedes,+0.127,+2.630,george-russell,15,pirelli,59,63
1:15.573,williams,mercedes,+0.034,+2.664,nicholas-latifi,16,pirelli,66,6
1:15.706,mercedes,mercedes,+0.133,+2.797,valtteri-bottas,17,pirelli,18,77
1:16.425,haas,ferrari,+0.719,+3.516,mick-schumacher,18,pirelli,51,47
1:16.866,haas,ferrari,+0.441,+3.957,nikita-mazepin,19,pirelli,64,9
