driverId,position,points
max-verstappen,1,105
lewis-hamilton,2,101
lando-norris,3,56
valtteri-bottas,4,47
sergio-perez,5,44
charles-leclerc,6,40
carlos-sainz-jr,7,38
daniel-ricciardo,8,24
pierre-gasly,9,16
esteban-ocon,10,12
sebastian-vettel,11,10
lance-stroll,12,9
fernando-alonso,13,5
yuki-tsunoda,14,2
antonio-giovinazzi,15,1
kimi-raikkonen,16,0
george-russell,17,0
nicholas-latifi,18,0
mick-schumacher,19,0
nikita-mazepin,20,0
