engineManufacturerId,constructorId,position,points
honda-rbpt,red-bull,1,301
ferrari,ferrari,2,252
mercedes,mclaren,3,212
mercedes,mercedes,4,124
mercedes,aston-martin,5,58
honda-rbpt,rb,6,28
ferrari,haas,7,7
renault,alpine,8,5
mercedes,williams,9,2
ferrari,kick-sauber,10,0
