driverId,position,points
lewis-hamilton,1,246.5
max-verstappen,2,244.5
valtteri-bottas,3,151
lando-norris,4,139
sergio-perez,5,120
carlos-sainz-jr,6,112.5
charles-leclerc,7,104
daniel-ricciardo,8,95
pierre-gasly,9,66
fernando-alonso,10,58
esteban-ocon,11,45
sebastian-vettel,12,35
lance-stroll,13,24
yuki-tsunoda,14,18
george-russell,15,16
nicholas-latifi,16,7
kimi-raikkonen,17,6
antonio-giovinazzi,18,1
mick-schumacher,19,0
robert-kubica,20,0
nikita-mazepin,21,0
