constructorId,engineManufacturerId,percentage,driverId,position,tyreManufacturerId,driverNumber
red-bull,honda,22.9,max-verstappen,1,pirelli,33
mclaren,mercedes,19,daniel-ricciardo,2,pirelli,3
mclaren,mercedes,14,lando-norris,3,pirelli,4
mercedes,mercedes,8.4,lewis-hamilton,4,pirelli,44
red-bull,honda,6.9,sergio-perez,5,pirelli,11
